2022-06-29 17:47:25,236 | DBConnector | INFO  | Trying to update prices with USD 4.45329999999999959214846967370249330997467041015625, EUR 4.68090000000000028279600883251987397670745849609375
2022-06-29 17:47:25,236 | DBConnector | INFO  | Prices successfully updated
2022-06-29 17:47:25,236 | DBConnector | INFO  | Closing connection to localhost/mydb as root
2022-06-29 17:47:40,074 | root | INFO  | Got 'g' from user
2022-06-29 17:47:40,074 | root | INFO  | Trying to create Excel on demand
2022-06-29 17:47:40,074 | DBConnector | INFO  | Trying to connect to localhost/mydb as root
2022-06-29 17:47:40,076 | DBConnector | INFO  | Connection successfully set
2022-06-29 17:47:40,076 | DBConnector | INFO  | Trying to query products from database
2022-06-29 17:47:40,076 | DBConnector | INFO  | Trying to query products from database
2022-06-29 17:47:40,081 | DBConnector | INFO  | Products successfully queried
2022-06-29 17:47:40,236 | DBConnector | INFO  | Excel file successfully created
2022-06-29 17:47:40,236 | DBConnector | INFO  | Closing connection to localhost/mydb as root
2022-06-29 17:47:50,810 | root | INFO  | Got 'q' from user
2022-06-29 17:47:50,810 | root | INFO  | Closing app
